box_id,seed_id,inventory_date,inventory_person,weight_gram
WOP_2026_selections,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,11/7/2025,Adrian,86.5
WOP_2026_selections,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_54,11/7/2025,Adrian,110.2
WOP_2026_selections,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,11/7/2025,Adrian,134
WOP_2026_selections,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,11/7/2025,Adrian,163.6
WOP_2026_selections,NF13-4083-4_6-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_83,11/7/2025,Adrian,337.7
WOP_2026_selections,NF13-4214-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_169,11/7/2025,Adrian,341.7
WOP_2026_selections,NF99414-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378,11/7/2025,Adrian,364.3
WOP_2026_selections,PA7617-3460-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_212,11/7/2025,Adrian,425.7
WOP_2026_selections,LA17153SBSS-46-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_118,11/7/2025,Adrian,433
WOP_2026_selections,NC21-6576-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_85,11/7/2025,Adrian,478.9
WOP_2026_selections,NC20-4551-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_50,11/7/2025,Adrian,489.8
WOP_2026_selections,FLLA17088-61-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_339,11/7/2025,Adrian,499.4
WOP_2026_selections,NORA-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_133,11/7/2025,Adrian,509.5
WOP_2026_selections,NF12AS-108-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161,11/7/2025,Adrian,535.4
WOP_2026_selections,AURORA-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_24,11/7/2025,Adrian,539.5
WOP_2026_selections,NC20-4700-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_364,11/7/2025,Adrian,555.2
WOP_2026_selections,HARRISON-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_56,11/7/2025,Adrian,556.2
WOP_2026_selections,NC21-6475-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_77,11/7/2025,Adrian,558.2
WOP_2026_selections,NF12AS-107-4_2-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_258,11/7/2025,Adrian,568.1
WOP_2026_selections,NC17-6440-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_306,11/7/2025,Adrian,570.7
WOP_2026_selections,NC20-4402-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_142,11/7/2025,Adrian,574
WOP_2026_selections,NF99414-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,11/7/2025,Adrian,580.7
WOP_2026_selections,NF13-4126-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_145,11/7/2025,Adrian,596.2
WOP_2026_selections,HORIZON201-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_199,11/7/2025,Adrian,600.3
WOP_2026_selections,NC21-6511-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_367,11/7/2025,Adrian,604.8
WOP_2026_selections,LA17129SBSS-8-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_165,11/7/2025,Adrian,608.5
WOP_2026_selections,NF13-4173-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_116,11/7/2025,Adrian,611.1
WOP_2026_selections,NF13-4214-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_156,11/7/2025,Adrian,615.3
WOP_2026_selections,GERARD224-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_218,11/7/2025,Adrian,617.1
WOP_2026_selections,NC21-6497-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_65,11/7/2025,Adrian,620.7
WOP_2026_selections,NF13-4157-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_81,11/7/2025,Adrian,628.7
WOP_2026_selections,NF12AS-100-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_228,11/7/2025,Adrian,634.7
WOP_2026_selections,NF01404A-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_160,11/7/2025,Adrian,635.4
WOP_2026_selections,TX18OCS9125-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_10,11/7/2025,Adrian,644.3
WOP_2026_selections,SCLA17080SBS-4-2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_316,11/7/2025,Adrian,651.4
WOP_2026_selections,NC21-6610-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_99,11/7/2025,Adrian,668.3
WOP_2026_selections,NC20-4702-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_192,11/7/2025,Adrian,669.7
WOP_2026_selections,LA17069SBSS-2-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_244,11/7/2025,Adrian,682.6
WOP_2026_selections,OKAY-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_14,11/7/2025,Adrian,695.9
WOP_2026_selections,FLLA17088-77-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_48,11/7/2025,Adrian,704
WOP_2026_selections,NC19-3542-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_261,11/7/2025,Adrian,704.6
WOP_2026_selections,NC21-6429-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16,11/7/2025,Adrian,707.9
WOP_2026_selections,TX18OCS9104-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_37,11/7/2025,Adrian,766.4
WOP_2026_selections,NF12AS-107-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_359,11/7/2025,Adrian,792.8
WOP_2026_selections,Gerard 227-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_250,11/7/2025,Adrian,867.9
WOP_2026_selections,NC20-4526-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_32,11/7/2025,Adrian,888.9
WOP_2026_selections,NC20-4452-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_98,11/7/2025,Adrian,979.3
