,germplasmName
1,OZARK|POGI
2,NC21-6492
3,NF12AS-73-4_3
4,NF13-4214-4_5
5,PA7617-3658
6,PA7617-3460
7,NF13-4214-4_1
8,NF13-4157-4_2
9,NC20-4452
10,NC21-6610
11,NF99414
12,NF13-4083-4_6
13,AURORA
14,GERARD224
16,NC21-6497
17,Horizon 578
20,NC20-4551
21,NF12AS-107-4_2-1
23,NC20-4702
24,NC20-4526
26,NF13-4124-4_3
27,NF502_5
28,Gerard 227
29,NF18
30,SCLA17031SBSS-4-1
32,NF13-4153-4_2
33,NF12AS-108-4_4
35,NF12AS-108-4_1
37,NF401_1
38,NC21-6576
39,NF13-4126-4_3
40,NC21-6609
41,NF12AS-100-4_2
42,NF13-4173-4_4
44,NF13-4124-4_8
45,NC21-6429
49,NF05424_2
50,NF99401_1-1
51,NF97405B2
52,NORA
